num_facture,date_facture,vendeur_nom,vendeur_adresse,vendeur_id_fiscal,iban,client_nom,client_adresse,client_id_fiscal,tva,sous_total,taxe,total,path_picture
10541959,02/19/2017,Alvarez-Woods,"7059 Bauer Squares Apt. 050 West Tammy, TN 81798",939-92-6291,GB35DSTQ64817325575579,Smith-Haynes,"11054 Adrian Stream Port Nicholasfort, NE 71131",974-91-1402,10%,"26,14","2,61","28,75",batch_1/invoice_180.pdf0.jpg
60400209,10/02/2017,White PLC,"26881 Gregory Loaf Suite 262 Frenchmouth, AL 15024",995-72-0848,GB81EOTC18830149895987,Elliott-Cole,"912 Coleman Mountains Apt. 947 New Brittanymouth, TX 87230",979-73-3842,10%,"233,81","23,38","257,19",batch_1/invoice_181.pdf0.jpg
50357965,02/06/2015,Curtis-Lloyd,USNV Rodriguez FPO AA 36109,923-85-6655,GB49KRRH09651427977294,"Conner, Lucas and Mullen","70496 James Hill Apt. 960 Smithside, DC 23664",964-75-1002,10%,"351,92","35,19","387,11",batch_1/invoice_844.pdf0.jpg
69721323,05/07/2019,Murray-Eaton,"773 Joseph Plains West Nicoleville, AZ 46136",936-71-8228,GB22XZGA27411153163644,"Cuevas, Reid and Hurst","98071 Daniel Heights Careyside, MS 59400",949-88-4885,10%,"8314,20","831,42","9145,62",batch_1/invoice_845.pdf0.jpg
51300355,03/28/2012,Williams Ltd,"87954 Justin Inlet North Christyfurt, OH 35161",990-71-6927,GB96KNEY04030634311641,King-Johnson,"643 Fox Mountains South Melissa, NV 00738",953-87-1416,10%,"518,93","51,89","570,82",batch_1/invoice_620.pdf0.jpg
98824587,03/09/2020,"Booth, Townsend and Sanford",USS Howard FPO AE 79779,903-73-0061,GB20SJZU55484922035378,"Hughes, Edwards and Jones","7262 Trevor Shoals Vanessashire, PA 09438",945-83-4600,10%,"3739,93","373,99","4113,92",batch_1/invoice_95_color_B_250.pdf0.jpg
63395419,06/20/2015,Harris-Scott,"868 Coleman Ferry North Michaelchester, OH 33235",914-74-6590,GB16HITK55079999756841,Walter-Walters,"38897 Brian Mill Suite 806 Youngborough, NJ 57033",921-97-3910,10%,"6305,37","630,54","6935,91",batch_1/invoice_446.pdf0.jpg
81972673,08/13/2014,Dickerson-Burgess,"6625 Scott Club Suite 247 East Dannyville, VT 74376",988-88-0263,GB96ZOZX67321501892716,Baxter-Gonzalez,"1903 Katrina Brooks West Allisonchester, IN 44744",987-81-1204,10%,"389,41","38,94","428,35",batch_1/invoice_447.pdf0.jpg
98396639,02/27/2012,Mullen-Smith,"5847 Mccarthy Points Suite 488 Johnville, WY 95730",978-71-2058,GB11PPWG69818943211516,Crawford PLC,"693 Melissa River Suite 422 Lake Mark, WY 36311",908-83-9228,10%,"16922,13","1692,21","18614,34",batch_1/invoice_621.pdf0.jpg
47156580,11/09/2011,Berger-Dickerson,"47791 Jackson Center Suite 429 New Dwayne, MS 08632",913-97-0806,GB53PEZP50958168987507,Bailey Group,"20623 Williams Villages Suite 299 East Margaret, MS 19233",950-71-9080,10%,"119,98","12,00","131,98",batch_1/invoice_363_color_B_248.pdf0.jpg
61619303,09/20/2013,"Glenn, Roberts and Cochran","673 Ryan Loop Rodriguezhaven, NE 81351",930-98-2356,GB89PBXV06755096377275,"Burgess, Evans and Moreno","0243 Adkins Shoals Westchester, AK 72317",971-86-1778,10%,"961,21","96,12","1057,33",batch_1/invoice_112.pdf0.jpg
43674884,04/22/2014,Miller-Williams,Unit 1322 Box 8755 DPO AE 56991,968-74-9070,GB83GKHI28055893909527,"Stokes, Cain and Fox",USS Johnston FPO AE 28022,906-74-1598,10%,"162,79","16,28","179,07",batch_1/invoice_374.pdf0.jpg
20813410,08/15/2015,Patterson-Harris,"632 Kelsey Knolls Zamoraburgh, ID 69174",998-84-9909,GB81BZMF33264224149066,"Deleon, Molina and Johnson","911 Renee Terrace Apt. 533 Kelseyhaven, NV 67939",964-83-4435,10%,"282,82","28,28","311,10",batch_1/invoice_347_color_B_245.pdf0.jpg
45072501,04/29/2017,"Spears, Valdez and Perez","8283 Breanna Ford Apt. 551 Herreraside, MI 03897",993-70-9247,GB65BSDX18427409737993,Sanford-Huffman,"5211 Michael Locks Rogershaven, IA 51534",994-98-7413,10%,"145,22","14,52","159,74",batch_1/invoice_114_color_B_249.pdf0.jpg
99004300,09/17/2012,Miles Ltd,"05464 Richard River Danielberg, MN 72871",904-85-9552,GB590GER79546193089834,Davis and Sons,"83595 Everett Underpass Maddenside, WV 95784",915-96-8914,10%,"6750,00","675,00","7425,00",batch_1/invoice_375.pdf0.jpg
56514066,05/14/2014,"Snyder, Williams and Walter","77701 Francisco Shoals Scottmouth, DC 45561",905-75-8307,GB76WTTH68902414885248,Keller Inc,"562 Rebecca Stravenue Morganchester, MI 55326",955-86-3035,10%,"44,89","4,49","49,38",batch_1/invoice_113.pdf0.jpg
61527431,08/24/2016,Mckay Inc,"605 Christian Way East Andrewton, NJ 45785",930-78-8015,GBO2BBYR31864147831617,"Gilbert, Guerrero and Johnson","5003 Lambert Crossing Suite 099 Lake Kayleeport, NJ 80905",963-72-6837,10%,"9381,00","938,10","10319,10",batch_1/invoice_539.pdf0.jpg
38510682,09/05/2011,Solomon-Murray,"995 Jones Expressway Jonesville, WI 45138",969-88-2792,GB61YIDY56847872233436,Sanchez Inc,"288 Miller Burg Nicolechester, DE 82359",937-78-5078,10%,"675,98","67,60","743,58",batch_1/invoice_538.pdf0.jpg
14941401,07/28/2020,Harris-Jones,"32148 Ryan Stream Fordstad, NH 01103",983-91-9987,GB20XIFA80751355330570,"Oconnor, Hubbard and Jackson",USNS Burns FPO AA 28539,950-70-7916,10%,"550,00","55,00","605,00",batch_1/invoice_169_color_B_253.pdf0.jpg
35989405,08/24/2016,"Dominguez, Lee and Simpson","0621 Susan View Suite 662 South Rebecca, VT 08976",949-87-5982,GB44DLGS77072904365500,"Scott, Clark and Gonzalez","6750 Wells Flats Suite 103 Loriland, SC 30759",938-94-7505,10%,"5750,00","575,00","6325,00",batch_1/invoice_327_color_B_249.pdf0.jpg
49166171,02/21/2021,Stanton PLC,"65805 Mccann Locks Suite 032 West Deborah, ID 30590",941-96-5774,GB64WQXZ66580327062077,Davis-Jackson,"3868 Ashley Glens Apt. 777 Thompsonshire, NJ 39579",942-80-1437,10%,"43,06","4,31","47,37",batch_1/invoice_391.pdf0.jpg
44456646,03/21/2015,Austin and Sons,"9090 Thomas Route Apt. 293 Johnsonburgh, IA 81799",916-98-8677,GB48PIBU37974446029688,"Delacruz, Hinton and Mckinney","3867 Annette Tunnel North Codybury, FL 61678",940-84-8016,10%,"287,36","28,74","316,10",batch_1/invoice_458_color_B_250.pdf0.jpg
33784215,03/24/2018,Hart-Johnson,"244 Jennifer Fort Millsstad, TN 37715",913-74-7344,GB80GQQM83063676172071,Martin and Sons,"511 Moore Streets Suite 141 North Matthewland, MN 20879",917-77-1318,10%,"56,78","5,68","62,46",batch_1/invoice_390.pdf0.jpg
72492750,02/03/2013,Ramsey-Marshall,"74924 Jeffrey Keys Suite 073 Huertaside, OR 19492",964-86-3709,GB95DUBT22656942604217,Gomez Ltd,"384 Eric Avenue North Paulville, PA 08561",983-70-9730,10%,"343,20","34,32","377,52",batch_1/invoice_833.pdf0.jpg
35312696,05/11/2017,"Parker, Khan and Parker","2487 Todd Green Suite 559 Jacktown, UT 04354",940-84-6250,GB24PPHX39330226937268,"Thompson, Terry and Johnson","47851 Michael Rapids Suite 469 Scottbury, MS 96580",922-70-7690,10%,"292,68","29,27","321,95",batch_1/invoice_7_color_B_245.pdf0.jpg
85765662,04/22/2017,Fisher PLC,"985 Barnes Street Suite 193 East Laura, OH 47472",911-83-6943,GB93BKA083939015460445,"Meyer, Lambert and Smith","94070 Durham Orchard Suite 505 West Kyleburgh, VA 36158",971-83-2985,10%,"98,24","9,82","108,06",batch_1/invoice_832.pdf0.jpg
15855229,03/30/2014,Hanson LLC,"5055 Patrick Locks South Julieberg, AL 39292",971-83-7777,GB69BVGG26411239112506,Hawkins-Lopez,"61102 Perez Inlet Huntermouth, MO 17925",943-72-8198,10%,"5294,47","529,45","5823,92",batch_1/invoice_431.pdf0.jpg
65863078,03/16/2017,Mejia-Garcia,"9033 Newton Glens Suite 932 Lake Jamesborough, ME 92815",919-81-5912,GB88WWZI56084991222344,Mcmahon-Shelton,"1177 George Club Apt. 743 Jamieberg, RI 23568",956-90-1949,10%,"1675,82","167,58","1843,40",batch_1/invoice_657.pdf0.jpg
59977720,06/16/2020,Long LLC,"594 Beck Drive Apt. 954 North Kimberlyhaven, AL 48942",945-79-5450,GB49QCTC10326503494714,"Long, Nguyen and Anderson","5194 Foley Roads North Scott, PA 71079",925-70-7011,10%,"301,62","30,16","331,78",batch_1/invoice_656.pdf0.jpg
14287592,03/05/2021,"Burns, Figueroa and Hawkins","490 Kathy Plains North Lindseymouth, TX 73040",920-81-8279,GB73YSDC23533582599166,Compton-Brown,"91812 Kyle Lodge Katrinamouth, TN 48338",991-91-0394,10%,"135550,39","13555,04","149105,43",batch_1/invoice_430.pdf0.jpg
72677375,08/04/2013,"Potter, Jackson and Brooks",USNV Allen FPO AE 09643,941-90-0647,GB57LPIB27874128237321,Gonzalez-Stephens,"480 Johnson Underpass Stephanieborough, MN 40920",929-94-0157,10%,"479,95","48,00","527,95",batch_1/invoice_299.pdf0.jpg
95894022,07/17/2014,"Wilson, Sullivan and Lucas","PSC 0033, Box 7503 APO AE 92369",992-80-4529,GB80KWBT86155093352271,"Cruz, Miller and Brown","577 Darin Harbors South Jacobstad, CT 77222",918-95-5005,10%,"153,95","15,39","169,34",batch_1/invoice_298.pdf0.jpg
17945455,04/08/2018,Elliott-Clark,"95832 Lin Glen Perryborough, AR 79889",987-70-0156,GBO3IPYG30839908981013,David Ltd,"55015 Hall Forks Apt. 563 Perkinstown, ID 16883",952-73-0856,10%,"23237,79","2323,78","25561,57",batch_1/invoice_65_color_B_243.pdf0.jpg
31293737,12/15/2020,Nunez Inc,"6551 Janet Gardens Michaelberg, KS 90952",914-71-5964,GB10TEWR90161825708017,Alvarez Inc,"00625 Smith Mall Apt. 604 New Dustin, AZ 81632",978-70-1262,10%,"371,51","37,15","408,66",batch_1/invoice_488_color_B_254.pdf0.jpg
96609211,03/16/2013,Barrett-Smith,"081 Taylor Greens Meganshire, NV 88698",917-88-4085,GB351IFQ02649109828005,Love Inc,Unit 0581 Box 6892 DPO AA 16618,918-90-1502,10%,"246,47","24,65","271,12",batch_1/invoice_402_color_B_254.pdf0.jpg
76820481,07/08/2016,Vargas-Hughes,"3065 Alexandra Village Jamieton, WY 67960",955-80-2072,GB81EDVN53098719544331,Bradshaw-Wall,"94728 Porter Cape Lake David, NE 57382",937-85-1055,10%,"106,40","10,64","117,04",batch_1/invoice_303.pdf0.jpg
65428348,07/27/2017,Perez Ltd,"PSC 1848, Box 8316 APO AA 15675",945-81-8549,GB34FPYD88234862125581,Diaz LLC,"387 Anthony Garden West Margaretside, NH 43447",914-77-7181,10%,"610,98","61,10","672,08",batch_1/invoice_165.pdf0.jpg
93769983,06/01/2019,"Brown, King and Henry","02006 Kim Via New Lori, AK 11417",947-79-9964,GB55CCPV37554454518615,"Jones, Swanson and Smith","2763 Stephanie Garden Suite 608 North Samuelhaven, ME 92975",900-85-9685,10%,"26309,40","2630,94","28940,34",batch_1/invoice_164.pdf0.jpg
98442092,06/10/2015,"Hudson, Hinton and Phillips","445 Harrison Green Apt. 108 Lake Sherry, NJ 73662",943-90-1835,GB89RSKI56873844054165,Castillo-Price,"5398 Christopher Hill North Philip, CA 42378",978-70-3140,10%,"157,01","15,70","172,71",batch_1/invoice_302.pdf0.jpg
76658127,10/23/2011,Crawford-Byrd,"PSC 3342, Box 5976 APO AA 60940",922-97-5588,GB21ZEZG69535709532307,Sherman PLC,"8359 Chapman Loop Torresside, MS 13114",973-85-9820,10%,"570,91","57,09","628,00",batch_1/invoice_242.pdf0.jpg
66002809,11/07/2017,Bailey Inc,"2476 Helen Lock New Kelli, AK 87759",918-98-3930,GBO3MIHH40209871095277,Chen-Higgins,"71626 Gomez Track Apt. 561 Vargaschester, LA 90906",965-99-5783,10%,"517,46","51,75","569,21",batch_1/invoice_217_color_B_246.pdf0.jpg
64281058,11/08/2019,"Zuniga, Short and Jensen","3742 Stephanie Haven Apt. 492 Port Davidfurt, NY 66413",984-91-8764,GB67BNED14756248228264,Wells Ltd,"0691 Adam Brook South Brittany, WA 02993",951-97-2583,10%,"14014,99","1401,50","15416,49",batch_1/invoice_243.pdf0.jpg
69167020,10/03/2020,"Green, Phillips and Washington","08050 Burns Unions Apt. 703 West Mark, ID 06799",901-76-9701,GB76RLVG97497779065189,Gibson PLC,"3324 Sheri Unions Suite 038 Autumnfurt, DE 97496",936-95-7995,10%,"1047,08","104,71","1151,79",batch_1/invoice_56.pdf0.jpg
94098997,10/04/2020,"Snyder, Bryan and Booth","380 Hoffman Manors Port Roberto, AR 94907",983-70-0913,GB54QA0A08274933006199,Ashley-Perry,"PSC 1999, Box 5007 APO AE 45315",981-88-6259,10%,"13846,77","1384,68","15231,45",batch_1/invoice_716.pdf0.jpg
70231143,10/29/2012,Hanson Ltd,"478 Shaun Skyway Suite 529 Alyssaside, IA 27758",946-99-5235,GB18RFXB58423567348989,Gibson-Prince,"9390 Laura Glen North Davidchester, MA 24825",900-78-0025,10%,"14488,75","1448,88","15937,63",batch_1/invoice_570.pdf0.jpg
87695069,06/28/2014,"Ballard, Hale and Humphrey",USNS Whitaker FPO AA 10936,986-82-6772,GB71SOMY41554092839099,"Tran, Hernandez and Ruiz","8272 Stephen Islands Williamsland, CA 03445",983-70-8237,10%,"191,69","19,17","210,86",batch_1/invoice_57.pdf0.jpg
43494216,10/31/2015,Austin-Mcmillan,Unit 4134 Box 4306 DPO AA 51921,914-91-1962,GB76GYOC48945359271716,Lopez Ltd,Unit 0427 Box 2729 DPO AA 15407,940-82-1560,10%,"4886,88","488,69","5375,57",batch_1/invoice_571.pdf0.jpg
11926242,03/01/2012,Bailey PLC,"17688 Joseph Tunnel Lake Catherinechester, MI 85198",918-95-6591,GBO7TFLJ75932069756707,Turner Inc,"786 Troy Flat Suite 673 Youngville, IN 45339",998-92-7755,10%,"3340,47","334,05","3674,52",batch_1/invoice_717.pdf0.jpg
48844293,10/31/2020,Carter-Carroll,"54629 Eric Roads Suite 667 Lake Curtis, MD 41803",910-71-1328,GB47NBVF94295045071181,Hansen-Barrett,"6512 Jones Forge Port Douglas, WY 20794",992-74-2444,10%,"3914,78","391,48","4306,26",batch_1/invoice_784.pdf0.jpg
68251548,10/07/2019,Kelly-Freeman,"4743 Lewis Dale North Mollyfort, NJ 05551",937-76-6080,GB24FBVH47032563161820,"Peterson, Oconnor and Rodriguez","094 Schneider Island East Deanhaven, ME 08477",967-99-5851,10%,"144,00","14,40","158,40",batch_1/invoice_972.pdf0.jpg
64197871,11/24/2013,"Jones, Hamilton and Johnson","4074 Daniel Mission West Lisa, DE 19240",936-73-5283,GB98ZAPN48275814518696,"Thomas, Cook and Douglas","613 Hudson Radial Apt. 648 Andreton, NH 36742",951-77-7205,10%,"835,93","83,59","919,52",batch_1/invoice_39_color_B_254.pdf0.jpg
58769039,07/09/2012,"Martin, Foster and Hayes","6481 Thomas Springs Suite 949 Joshuafort, MD 22762",932-91-7763,GB28KXYV59851386052186,Walters and Sons,USNS Wilson FPO AE 13467,953-70-3029,10%,"3074,95","307,50","3382,45",batch_1/invoice_973.pdf0.jpg
60866416,02/17/2021,"Parker, Patterson and Smith","29573 Carolyn Course Vincenttown, VT 21566",953-71-2756,GB94WSHN30369012384367,Arnold PLC,"1983 Michael Islands Apt. 059 New Jenniferburgh, ID 25217",942-90-5696,10%,"258,96","25,90","284,86",batch_1/invoice_785.pdf0.jpg
11580833,11/24/2019,"Wood, Simpson and Summers","7000 Graves Ville Juliastad, OH 02764",968-86-1662,GB61VHVS67246807986062,Tapia LLC,"53393 Peters Overpass Boothside, WY 76847",979-96-3992,10%,"4671,23","467,12","5138,35",batch_1/invoice_454_color_B_249.pdf0.jpg
28608590,07/05/2013,Smith LLC,"42930 Smith Squares New Debratown, OR 76645",921-86-8827,GBO6TVVM97819722473853,Cervantes and Sons,"4171 Linda Trace Santanaborough, NE 41163",930-92-7864,10%,"10019,87","1001,99","11021,86",batch_1/invoice_318_color_B_241.pdf0.jpg
45234802,09/06/2013,Williams-Burns,"5316 Rachel Plain Parrishborough, OR 24949",927-73-6186,GB34RTBN99351163234844,Richards-Lester,"55143 Daugherty Shores Lake Lindseytown, ME 94332",982-97-3510,10%,"1573,95","157,40","1731,35",batch_1/invoice_483_color_B_244.pdf0.jpg
86976994,08/02/2020,Williams Inc,Unit 4944 Box 8966 DPO AA 65871,965-92-9874,GB51JHJR84532303560463,"Gonzalez, Taylor and Gonzales",USNS Arellano FPO AE 47663,987-81-8294,10%,"775,00","77,50","852,50",batch_1/invoice_247_color_B_249.pdf0.jpg
93219493,05/16/2019,James PLC,"452 Michelle Branch Aaronberg, UT 13177",911-98-9831,GB71QDSH79257841046423,Bryant-Taylor,"075 Gary Union Suite 231 New Lindsayberg, WY 10457",956-92-2147,10%,"1140,91","114,09","1255,00",batch_1/invoice_478.pdf0.jpg
99106655,06/12/2017,Harris and Sons,"9044 Wright Estates New Jaclyn, NH 42689",975-96-8439,GB26VMRU44682967112758,Thomas-Vazquez,"4883 Hernandez Junction Williamview, MS 95898",972-72-1040,10%,"5221,54","522,15","5743,69",batch_1/invoice_479.pdf0.jpg
81205197,11/23/2016,Lindsey Inc,"5685 Kramer Keys Thomasborough, IL 54070",916-94-2741,GB53RBIY46119192795608,"Hawkins, Robinson and Pittman","273 Hernandez Pass Suite 784 Port Jonathan, IN 81743",983-70-5252,10%,"1023,75","102,38","1126,13",batch_1/invoice_263_color_B_244.pdf0.jpg
72026666,12/04/2012,"Parrish, Anderson and Banks","44419 Ryan Loaf North Michael, TN 05085",979-82-7035,GB18JLXJ48452714880570,"Hansen, Campbell and Boyd","39276 Hawkins Corners Tinabury, ID 31296",903-97-0777,10%,"48893,57","4889,36","53782,93",batch_1/invoice_946.pdf0.jpg
